id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,last_updated
aave,aave,Aave,258.78,3926731212,40,518943106,275.13,254.84,-16.348727997985293,-5.94229,-256614316.77137852,-6.13419,15202559.17234418,16000000.0,16000000.0,661.69,-61.07473,2025-08-01 11:55:30.788000+00:00
ethena,ena,Ethena,0.595832,3769707066,41,1733173477,0.670137,0.564584,-0.07302252152230815,-10.91755,-489120122.66123486,-11.48485,6354687500.0,15000000000.0,,1.52,-61.21381,2025-08-01 11:55:33.227000+00:00
dai,dai,Dai,0.99975,3739925833,42,132072869,1.0,0.999314,-9.4506866631261e-05,-0.00945,-22298420.732642174,-0.59269,3741179463.201313,3741179463.201313,,1.22,-17.98502,2025-08-01 11:55:32.610000+00:00
bittensor,tao,Bittensor,348.72,3332339176,43,162238456,376.67,342.43,-27.95025894067618,-7.42036,-274735382.9516845,-7.61657,9561672.0,21000000.0,21000000.0,757.6,-54.18594,2025-08-01 11:55:31.628000+00:00
pi-network,pi,Pi Network,0.404436,3139257251,44,105611877,0.416193,0.39989,-0.011436153784291692,-2.74992,-88157174.2357812,-2.73151,7763216302.73223,11942965570.3838,100000000000.0,2.99,-86.46484,2025-08-01 11:55:35.877000+00:00
ethereum-classic,etc,Ethereum Classic,20.13,3075251408,45,137152995,21.67,19.98,-1.5328483801290638,-7.07711,-235905846.66846228,-7.12457,152936865.5258278,152938483.2538278,210700000.0,167.09,-88.00529,2025-08-01 11:55:33.071000+00:00
near,near,NEAR Protocol,2.47,3058685269,46,264135810,2.7,2.45,-0.2248841115831226,-8.33565,-287873635.99882317,-8.60208,1240106607.0,1263391408.0,,20.44,-87.97242,2025-08-01 11:55:35.349000+00:00
aptos,apt,Aptos,4.29,2865031771,47,262701365,4.57,4.23,-0.28857032323585496,-6.30923,-205105753.00740147,-6.68067,671166793.5982463,1167930952.373373,,19.92,-78.64044,2025-08-01 11:55:31.417000+00:00
ondo-finance,ondo,Ondo,0.907129,2857304033,48,308963085,0.98007,0.888872,-0.07265240340204682,-7.41517,-243314839.1426921,-7.8473,3159107529.0,10000000000.0,10000000000.0,2.14,-57.92937,2025-08-01 11:55:35.318000+00:00
okb,okb,OKB,47.11,2824963607,49,41440155,47.84,46.67,-0.561968201602923,-1.1788,-36276462.63161516,-1.26786,60000000.0,235957685.3,300000000.0,73.8,-36.22502,2025-08-01 11:55:35.150000+00:00
internet-computer,icp,Internet Computer,5.12,2740274380,50,80786810,5.51,5.07,-0.3872925721021909,-7.02641,-216792181.55472326,-7.33133,536205751.2680638,536205798.2844056,,700.65,-99.27375,2025-08-01 11:55:34.192000+00:00
