id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,47.11,2824963607,49,11109531229,41440155.0,47.84,46.67,-0.561968201602923,-1.1788,-36276462.63161516,-1.26786,60000000.0,235957685.3,300000000.0,73.8,-36.22502,2024-03-14T00:30:12.502Z,0.580608,8006.6863,2019-01-14T00:00:00.000Z,,2025-08-01T11:55:35.150Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,5.12,2740274380,50,2740274620,80786810.0,5.51,5.07,-0.3872925721021909,-7.02641,-216792181.55472326,-7.33133,536205751.2680638,536205798.2844056,,700.65,-99.27375,2021-05-10T16:05:53.653Z,2.87,77.60648,2023-09-22T00:29:57.369Z,,2025-08-01T11:55:34.192Z
jito-staked-sol,jitosol,Jito Staked SOL,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,206.17,2670659578,51,2670659578,43729534.0,220.29,203.64,-13.965692542600095,-6.34419,-202344226.8574071,-7.04295,12980924.87421917,12980924.87421917,,339.52,-39.43492,2025-01-19T11:21:54.080Z,0.57898,35416.07076,2023-09-12T10:21:17.665Z,,2025-08-01T11:55:33.981Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.721362,2426332289,52,4483378198,202694838.0,0.761945,0.716483,-0.03934286556821476,-5.17189,-137278080.3452711,-5.35487,3365794382.836841,6219316794.99,6219316794.99,1.54,-53.23213,2024-04-08T09:45:25.482Z,0.307978,133.66099,2023-10-18T02:50:46.942Z,,2025-08-01T11:55:34.523Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2415133042,53,2415133042,0.0,1.0,1.0,0.0,0.0,272008.0,0.01126,2415133042.163853,2415133042.163853,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-08-01T11:55:04.556Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.086539,2277023913,54,2290691143,105956318.0,0.095814,0.084322,-0.009275454665633356,-9.68068,-249180966.88716793,-9.86385,26363807936.34678,26522049676.67822,28704026601.0,0.207411,-58.52985,2024-08-01T00:40:47.164Z,0.00017105,50185.80408,2022-05-26T14:42:59.316Z,,2025-08-01T11:55:40.733Z
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,3637.29,2200321696,55,2200321696,87618791.0,3841.99,3605.98,-191.49585603020432,-5.00148,-119814094.99041748,-5.1641,604999.999959841,604999.999959841,,4098.26,-11.79376,2024-12-06T20:27:27.286Z,1394.32,159.26081,2025-04-09T01:32:41.942Z,,2025-08-01T11:55:31.573Z
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.99933,2169730008,56,2169730008,506012951.0,1.0,0.99725,0.00024426,0.02445,-4814589.261019707,-0.22141,2170191022.434669,2170191022.434669,,1.025,-2.45042,2025-05-12T12:36:39.412Z,0.989703,1.01145,2025-04-16T00:36:15.580Z,,2025-08-01T11:55:40.073Z
pudgy-penguins,pengu,Pudgy Penguins,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,0.03437448,2161670855,57,2718780240,1070785286.0,0.03830682,0.03268543,-0.003860151317760775,-10.09595,-248591394.42964363,-10.31387,62860396090.0,79060881263.66075,88888888888.0,0.068447,-49.95013,2024-12-17T13:05:22.873Z,0.00371517,822.09776,2025-04-09T01:31:57.832Z,,2025-08-01T11:55:36.387Z
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.240786,2091196157,58,2091228583,147333864.0,0.264966,0.237794,-0.024149230916044234,-9.11515,-217133852.03496718,-9.40653,8692360290.292925,8692495075.893543,10000000000.0,3.56,-93.27906,2019-06-20T14:51:19.480Z,0.087513,173.4927,2023-09-11T19:42:08.247Z,"{'times': -0.8996725250642248, 'currency': 'usd', 'percentage': -89.96725250642248}",2025-08-01T11:55:36.736Z
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,2.642e-05,2041867901,59,2328706693,631387076.0,2.914e-05,2.551e-05,-2.718815559999e-06,-9.33172,-213573133.41949487,-9.46924,77419592329436.58,88295390076295.61,88295390095460.27,5.825e-05,-55.05363,2024-11-20T04:01:06.465Z,8.6142e-08,30293.06487,2022-12-29T22:48:46.755Z,,2025-08-01T11:55:31.848Z
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,17.04,2035458230,60,5112294718,8718355.0,17.41,16.75,-0.3073829411028761,-1.77161,-38438399.116532326,-1.85344,119444887.81900902,300000000.0,,25.94,-34.28615,2025-01-25T03:07:37.823Z,0.25754,6518.69179,2020-03-13T02:18:02.481Z,,2025-08-01T11:55:33.741Z
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.389005,2000021983,61,3883357137,378757035.0,0.424409,0.383117,-0.035403737670807345,-8.34189,-181475633.88852954,-8.31886,5150239630.0,10000000000.0,10000000000.0,2.39,-83.82097,2024-01-12T12:29:59.231Z,0.245747,57.36691,2025-04-07T07:01:34.124Z,,2025-08-01T11:55:42.266Z
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,4.58,1979142432,62,3994919015,60763992.0,4.6,4.57,-0.010463604829540785,-0.22815,738994.0,0.03735,431378783.4,870742437.0,1000000000.0,4.61,-0.4144,2025-07-27T09:55:16.106Z,0.398142,1052.4271,2023-01-21T10:15:39.503Z,,2025-08-01T11:55:33.197Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.02302629,1978608793,63,1978608793,68802711.0,0.0244284,0.02238679,-0.001402103446632604,-5.73965,-124460779.07037401,-5.91805,85985041177.0,85985041177.0,86712634466.0,0.280991,-91.87797,2021-04-19T01:08:21.675Z,0.00191713,1090.43334,2020-03-13T02:29:59.652Z,"{'times': 1.2149589911766614, 'currency': 'eth', 'percentage': 121.49589911766614}",2025-08-01T11:55:40.300Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.2,1938460299,64,1938460299,164647653.0,4.47,4.13,-0.2617493261232031,-5.86062,-124240031.09098983,-6.02317,461504524.917464,461504524.917464,,44.45,-90.60496,2022-01-17T00:34:41.497Z,1.16,259.97383,2020-03-13T02:27:44.591Z,"{'times': 41.0448938484396, 'currency': 'usd', 'percentage': 4104.48938484396}",2025-08-01T11:55:33.535Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,3.62,1874069564,65,1927457048,107693775.0,3.99,3.58,-0.3765634847289627,-9.42643,-192633489.57776833,-9.32081,518128769.0562826,532888942.3362826,644245094.0,13.53,-73.44677,2024-03-17T16:30:24.636Z,0.03665669,9704.20796,2020-06-16T13:22:25.900Z,,2025-08-01T11:55:36.123Z
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.202605,1827647626,66,2119982027,139105622.0,0.220744,0.198919,-0.018054843233681755,-8.18222,-167351104.43365097,-8.38853,9029770922.554363,10474093471.36837,,1.29,-84.33026,2024-03-13T18:55:06.692Z,0.153392,31.53068,2025-04-07T07:06:08.017Z,,2025-08-01T11:55:36.042Z
binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,179.76,1770397785,67,1770397785,2096238.0,192.63,177.83,-12.877042534333015,-6.68476,-121806943.2117765,-6.4373,9877223.21891424,9877223.21891424,,297.96,-39.84334,2025-01-19T11:30:53.744Z,100.21,78.86388,2025-04-07T06:56:20.488Z,,2025-08-01T11:55:42.234Z
worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,0.974888,1768247369,68,9720188340,228272589.0,1.082,0.960927,-0.10698408037925988,-9.88879,-200782342.47841597,-10.19702,1819149287.084559,10000000000.0,10000000000.0,11.74,-91.73883,2024-03-10T00:10:42.330Z,0.583741,66.15449,2025-04-07T07:06:11.379Z,,2025-08-01T11:55:40.956Z
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,8.84,1767974281,69,8839872595,446549902.0,9.36,8.73,-0.5169237997275129,-5.5242,-102728522.68969083,-5.49144,199999973.092266,1000000000.0,1000000000.0,73.43,-88.00068,2025-01-19T11:50:34.806Z,4.29,105.35651,2025-01-18T03:40:29.231Z,,2025-08-01T11:55:35.349Z
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.061,1741149853,70,1741149853,87628532.0,1.061,1.061,0.00012621,0.0119,-73878113.55448651,-4.07036,1640846031.057467,1640846031.057467,,1.088,-2.46334,2025-02-03T02:31:35.208Z,0.961716,10.33562,2025-01-04T01:21:08.460Z,,2025-08-01T11:55:38.479Z
story-2,ip,Story,https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331,5.86,1731029648,71,5925559429,121657735.0,6.54,5.79,-0.35540660852438233,-5.71369,-107574615.07117414,-5.85088,295170702.02,1010411080.47,,7.31,-19.57141,2025-02-26T16:11:25.410Z,1.0,488.04423,2025-02-14T03:11:08.309Z,,2025-08-01T11:55:38.125Z
sky,sky,Sky,https://coin-images.coingecko.com/coins/images/39925/large/sky.jpg?1724827980,0.081171,1722624818,72,1901860818,2971163.0,0.085135,0.080029,-0.003308457477431026,-3.9163,-72548645.37549567,-4.04132,21251486384.13876,23462665147.36596,,0.100535,-19.42879,2024-12-04T10:13:57.264Z,0.03582727,126.09161,2025-02-03T05:01:48.626Z,,2025-08-01T11:55:36.645Z
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,4135.05,1711065979,74,1710541673,4892629.0,4363.68,4093.39,-220.65614260503116,-5.06591,-89590656.06716275,-4.97544,413796.101652065,413669.3059965928,,4814.31,-14.29676,2021-12-01T08:03:50.749Z,887.26,365.02757,2022-06-18T20:55:45.957Z,,2025-08-01T11:55:36.448Z
