symbol,priceChange,priceChangePercent,weightedAvgPrice,lastPrice,lastQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHUSDT_250926,135.38,3.806,3680.85,3692.58,0.017,3557.20,3767.16,3556.62,4235.034,15588545.57,1754289660000,1754376061985,4938643,4962418,23776
ETHUSDT_251226,144.91,4.012,3734.44,3756.66,0.488,3611.75,3831.74,3611.75,3588.178,13399851.42,1754289600000,1754376054726,1244814,1269749,24936
BTCUSDT_250926,18.4,0.016,115968.5,115342.7,0.001,115324.3,116800.0,115101.6,97.577,11315859.5,1754289660000,1754376064856,2409682,2417290,7609
BTCUSDT_251226,40.6,0.035,117941.4,117540.6,0.001,117500.0,118964.0,117240.6,67.323,7940167.8,1754289720000,1754376024571,486371,492474,6104
ETHBTC,0.001162,3.763,0.031830,0.032045,0.27,0.030883,0.032412,0.030877,31689.73,1008.692077,1754289660000,1754376065759,36996359,37043305,46946
