symbol,priceChange,priceChangePercent,weightedAvgPrice,lastPrice,lastQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
TRXUSDT,0.00438,1.328,0.33199,0.33419,157,0.32981,0.33505,0.32902,294991176.0,97933298.36573,1754289660000,1754376084842,605943377,606258934,315558
ONDOUSDT,0.0100000,1.086,0.9373763,0.9306000,80.6,0.9206000,0.9576000,0.9182000,103562498.0,97077035.17358,1754289660000,1754376082906,406086604,406498767,412160
SPXUSDT,0.1023000,6.408,1.6807113,1.6987000,19,1.5964000,1.7678000,1.5927000,57447557.0,96552756.351,1754289660000,1754376085477,125564451,126225368,660916
NEARUSDT,0.0270,1.094,2.5174,2.4950,7,2.4680,2.5680,2.4600,35735567.0,89960469.438,1754289660000,1754376085475,894906319,895136332,230014
TAOUSDT,-3.53,-1.000,356.27,349.44,0.016,352.97,362.60,348.39,249329.465,88827500.75,1754289660000,1754376086824,358499381,359014363,514981
LINAUSDT,0.000089,13.629,0.000817,0.000742,825193.1,0.000653,0.000980,0.000612,106308520520.8,86817665.678621,1742979660000,1743066067031,299389239,299742465,351654
ETHFIUSDT,0.0067000,0.669,1.0189269,1.0089000,32.7,1.0022000,1.0516000,0.9938000,82830965.3,84398698.23705,1754289660000,1754376083606,324921505,325434936,513431
ETCUSDT,0.586,2.932,20.579,20.573,0.01,19.987,21.086,19.965,4077677.36,83915222.287,1754289660000,1754376083828,1096832385,1097202222,369838
OMUSDT,0.0024400,0.981,0.2537214,0.2510400,23.6,0.2486000,0.2592100,0.2478300,321552214.4,81584689.941075,1754289660000,1754376083677,431587675,432278054,690378
FTMUSDT,-0.061200,-7.361,0.823125,0.770200,12,0.831400,0.843600,0.732200,97559660.0,80303756.7992,1736067600000,1736154004023,1026578071,1026922646,343050
VIRTUALUSDT,0.0080000,0.658,1.2348441,1.2235000,9.9,1.2155000,1.2679000,1.1986000,64000349.0,79030453.42443,1754289660000,1754376083742,244875241,245354684,479443
FILUSDT,0.023,0.974,2.393,2.384,53.8,2.361,2.439,2.348,33018618.4,79018409.743,1754289660000,1754376085110,860928474,861128931,200458
APTUSDT,0.05070,1.197,4.30178,4.28780,4.3,4.23710,4.37730,4.23120,17927917.0,77121874.84258,1754289660000,1754376086590,788685535,789072752,387217
ERAUSDT,0.0505000,5.358,0.9633948,0.9930000,1,0.9425000,1.0218000,0.9131000,79077942.0,76183280.6398,1754289660000,1754376083803,35555561,36035881,480320
WAVESUSDT,0.0138,1.044,1.3117,1.3355,0.1,1.3217,1.3697,1.2053,55497523.7,72794064.7423,1718009940000,1718096388513,580941647,581367718,426067
